name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Marissa Taylor,F,881680384,2001-12-16,Freshman,Mason Gross School of the Arts,0,0,['MS' 'CS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Stephanie Lopez,F,635756545,2006-03-26,Junior,School of Engineering,0,0,['SA' 'BS' 'MZH'],Suite,1,1,1,4000-6000,6000,"[992993660, 571969463]"
Christina Yates,F,706879490,2004-05-08,Freshman,School of Arts and Sciences,1,0,['BS' 'RA' 'TS'],Suite,1,1,1,4000-6000,6000,"[401132316, 490378696]"
Cynthia Pollard,F,152576004,2004-09-29,Junior,School of Engineering,0,0,['SA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,6000,"[739452220, 790619196]"
Bradley Manning,M,372269066,2006-02-07,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'AH'],Suite,1,1,1,6000-8000,8000,[607759705]
Pamela Sanchez,F,148045835,2001-09-01,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'TS' 'RA'],Suite,1,1,1,8000-11000,11000,"[745613948, 134130462]"
Sara Ruiz,F,445595659,2003-05-07,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'TS'],Suite,1,1,1,4000-6000,6000,"[633434833, 605311485]"
Bobby Marsh,M,730988561,2001-06-20,Freshman,School of Arts and Sciences,0,1,['RA' 'MZH' 'NCA'],Suite,1,1,1,4000-6000,5000,"[343883814, 340853830]"
Mary Ortiz,F,885432338,2004-11-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'NCA' 'BS'],Suite,1,1,1,6000-8000,8000,"[571690835, 125184721]"
Justin Brock,M,381992982,2002-06-22,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'BS'],Suite,1,1,1,4000-6000,6000,[180224138]
Dr. David Hughes Jr.,M,260259863,2004-07-12,Freshman,School of Communication and Information,0,0,['MRS' 'AH' 'BS'],Suite,1,1,1,8000-11000,11000,"[113589986, 424398787]"
Jonathan Peterson,M,262135831,2003-11-14,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'RA' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,8000,[679516053]
Sarah Rangel,F,951468059,2005-05-13,Senior,School of Social Work,0,1,['RA' 'BS' 'JS'],Suite,1,1,1,8000-11000,10000,"[207419106, 173844216]"
Pamela Blanchard,F,702865437,2001-05-08,Sophomore,School of Arts and Sciences,0,0,['AH' 'MH' 'MS'],Apartment,1,0,1,4000-6000,6000,"[770987708, 351630560]"
James Frazier,M,392339487,2002-10-05,Senior,School of Arts and Sciences,0,0,['BH' 'SA' 'RA'],Apartment,1,0,0,8000-11000,11000,"[698848206, 454038868]"
